"","Municipio","Infectados","Recuperados","Obitos","Total","Dia_Juliano"
"228","Sinop",11,0,0,11,105
"229","Tangara da Serra",5,0,0,5,105
"230","Uniao do Sul",1,0,0,1,105
"231","Varzea Grande",4,2,0,6,105
"232","Alta Floresta",0,1,0,1,106
"233","Aripuana",0,1,1,2,106
"234","Caceres",0,1,1,2,106
"235","Campo Novo do Parecis",1,0,0,1,106
"236","Canarana",0,1,0,1,106
"237","Conquista do Oeste",1,0,0,1,106
"238","Cuiaba",51,28,0,79,106
"239","Lambari do Oeste",1,0,0,1,106
"240","Lucas do Rio Verde",0,0,1,1,106
"241","Nova Monte Verde",0,1,0,1,106
"242","Nova Mutum",0,1,0,1,106
"243","Pontes e Lacerda",1,0,0,1,106
"244","Primavera do Leste",4,0,0,4,106
"245","Rondonopolis",19,3,1,23,106
"246","Sao Jose dos Quatro Marcos",4,0,0,4,106
"247","Sinop",8,3,0,11,106
"248","Tangara da Serra",5,0,0,5,106
"249","Uniao do Sul",1,0,0,1,106
"250","Varzea Grande",5,2,0,7,106
"251","Alta Floresta",0,1,0,1,107
"252","Aripuana",0,1,1,2,107
"253","Caceres",0,1,1,2,107
"254","Campo Novo do Parecis",1,0,0,1,107
"255","Canarana",0,1,0,1,107
"256","Conquista do Oeste",1,0,0,1,107
"257","Cuiaba",53,29,1,83,107
"258","Lambari do Oeste",1,0,0,1,107
"259","Lucas do Rio Verde",0,0,1,1,107
"260","Nova Monte Verde",0,1,0,1,107
"261","Nova Mutum",0,1,0,1,107
"262","Pontes e Lacerda",1,0,0,1,107
"263","Primavera do Leste",4,0,0,4,107
"264","Rondonopolis",19,3,1,23,107
"265","Sao Jose dos Quatro Marcos",2,2,0,4,107
"266","Sinop",9,3,0,12,107
"267","Tangara da Serra",5,0,0,5,107
"268","Uniao do Sul",0,1,0,1,107
"269","Varzea Grande",5,2,0,7,107
"270","Alta Floresta",0,1,0,1,108
"271","Aripuana",0,1,1,2,108
"272","Caceres",0,1,1,2,108
"273","Campo Novo do Parecis",0,1,0,1,108
"274","Canarana",0,1,0,1,108
"275","Conquista do Oeste",1,0,0,1,108
"276","Cuiaba",58,29,1,88,108
"277","Lambari do Oeste",0,1,0,1,108
"278","Lucas do Rio Verde",0,0,1,1,108
"279","Nova Monte Verde",0,1,0,1,108
"280","Nova Mutum",0,1,0,1,108
"281","Pontes e Lacerda",1,0,0,1,108
"282","Primavera do Leste",4,1,0,5,108
"283","Rondonopolis",20,3,1,24,108
"284","Sao Jose dos Quatro Marcos",2,2,0,4,108
"285","Sinop",9,3,0,12,108
"286","Tangara da Serra",0,5,0,5,108
"287","Uniao do Sul",0,1,0,1,108
"288","Varzea Grande",3,4,0,7,108
"289","Alta Floresta",0,1,0,1,109
"290","Aripuana",0,1,1,2,109
"291","Barra do Garcas",1,0,0,1,109
"292","Caceres",1,1,1,3,109
"293","Campo Novo do Parecis",0,1,0,1,109
"294","Canarana",0,1,0,1,109
"295","Conquista do Oeste",1,0,0,1,109
"296","Cuiaba",41,49,1,91,109
"297","Ipiranga do Norte",1,0,0,1,109
"298","Lambari do Oeste",0,1,0,1,109
"299","Lucas do Rio Verde",0,0,1,1,109
"300","Mirassol do Oeste",1,0,0,1,109
"301","Nova Monte Verde",0,1,0,1,109
"302","Nova Mutum",0,1,0,1,109
"303","Pontes e Lacerda",1,0,0,1,109
"304","Primavera do Leste",4,1,0,5,109
"305","Rondonopolis",20,3,1,24,109
"306","Sao Jose dos Quatro Marcos",2,2,0,4,109
"307","Sinop",10,3,0,13,109
"308","Tangara da Serra",0,5,0,5,109
"309","Uniao do Sul",0,1,0,1,109
"310","Varzea Grande",3,5,0,8,109
"311","Alta Floresta",0,1,0,1,110
"312","Aripuana",0,1,1,2,110
"313","Barra do Garcas",1,0,0,1,110
"314","Caceres",2,1,1,4,110
"315","Campo Novo do Parecis",0,1,0,1,110
"316","Canarana",0,1,0,1,110
"317","Conquista do Oeste",1,0,0,1,110
"318","Cuiaba",42,49,1,92,110
"319","Ipiranga do Norte",1,0,0,1,110
"320","Lambari do Oeste",0,1,0,1,110
"321","Lucas do Rio Verde",0,0,1,1,110
"322","Mirassol do Oeste",1,0,0,1,110
"323","Nova Monte Verde",0,1,0,1,110
"324","Nova Mutum",0,1,0,1,110
"325","Pontes e Lacerda",1,0,0,1,110
"326","Primavera do Leste",4,1,0,5,110
"327","Rondonopolis",20,3,1,24,110
"328","Sao Jose dos Quatro Marcos",2,2,0,4,110
"329","Sinop",10,3,0,13,110
"330","Tangara da Serra",0,5,0,5,110
"331","Uniao do Sul",0,1,0,1,110
"332","Varzea Grande",3,6,0,9,110
"333","Alta Floresta",0,1,0,1,111
"334","Aripuana",0,1,1,2,111
"335","Barra do Garcas",2,0,1,3,111
"336","Caceres",2,1,1,4,111
"337","Campo Novo do Parecis",0,1,0,1,111
"338","Canarana",0,1,0,1,111
"339","Conquista do Oeste",1,0,0,1,111
"340","Cuiaba",46,49,1,96,111
"341","Ipiranga do Norte",1,0,0,1,111
"342","Lambari do Oeste",0,1,0,1,111
"343","Lucas do Rio Verde",0,0,1,1,111
"344","Mirassol do Oeste",1,0,0,1,111
"345","Nova Monte Verde",0,1,0,1,111
"346","Nova Mutum",0,1,0,1,111
